State,Average_avg-Temp,Average-Min Temp,Average-max-temp,avg-precipitation,avg-windSpeed,pH,Clay,Sand,Silt,Crop Yield,Hectare
Enugu,27.17874496,22.75593762,31.59704666,162.75,1.334624981,5.55,28.66666667,60.83333333,17.33333333,0.709388681,0.545488917
Enugu,27.1829116,22.76218764,31.6095467,162.3958333,1.342958316,5.483333333,29.16666667,55.33333333,20.5,0.709388681,0.545488917
Ebonyi,27.19136469,22.69343742,31.68833367,145.5833334,1.446270834,5.583333333,26.5,51.5,22.83333333,0.349008541,0.297155424
Benue,27.19741158,21.66003649,32.7275937,131.6458334,1.613109368,5.933333333,21.5,61.33333333,17.66666667,1.10166258,1.097621464
Crossriver,27.19779702,22.91172409,31.48445328,169.7291667,1.31976562,5.666666667,26.66666667,56.66666667,16.83333333,5.487014333,0.567674981
Taraba,27.19793217,21.24429671,33.14724481,100.0625,1.762593749,5.883333333,21.33333333,60.66666667,18.83333333,2.389935279,2.622656076
Lagos,27.20118686,23.53043767,30.8749518,124.5,2.655079375,5.55,27.5,57.33333333,15,0.012362074,0.005777795
Lagos,27.20118686,23.53043767,30.8749518,124.5,2.655079375,5.266666667,26.83333333,59.16666667,14.33333333,0.012362074,0.005777795
Ebonyi,27.20528658,22.76918757,31.63853097,164.5208334,1.344390621,5.65,28.83333333,61.66666667,16,0.349008541,0.297155424
Anambra,27.20645301,22.6908226,31.72413011,129.8125,1.380927076,5.533333333,23.83333333,54.16666667,20.66666667,0.433101138,0.282524924
Abuja,27.20833333,22.38555722,32.03240629,102.7916667,1.682114591,5.916666667,20.16666667,59.16666667,18.66666667,0.040602622,0.048095096
Lagos,27.21160356,23.52627099,30.90411842,124.5,2.648829376,5.85,24.83333333,55.33333333,17.5,0.012362074,0.005777795
Ebonyi,27.21191685,22.62568224,31.80353109,150.4166667,1.448437495,5.666666667,26.83333333,57.16666667,16.5,0.349008541,0.297155424
Anambra,27.21478653,22.71373936,31.71354679,129.0833333,1.389260412,5.733333333,26.66666667,50.33333333,19.66666667,0.433101138,0.282524924
Ebonyi,27.22088019,22.90422408,31.54945318,169.4166667,1.332598955,5.933333333,24.66666667,60,15.83333333,0.349008541,0.297155424
Lagos,27.22827025,23.52418765,30.93328508,124.3333333,2.640496051,5.7,24.66666667,59.16666667,14,0.012362074,0.005777795
Lagos,27.22827025,23.52418765,30.93328508,124.3333333,2.640496051,5.566666667,20.66666667,58.83333333,15,0.012362074,0.005777795
Ebonyi,27.23420847,22.65557806,31.81063533,148.7708333,1.451750005,5.7,27.5,56.5,17.33333333,0.349008541,0.297155424
Lagos,27.23452024,23.52210434,30.94578517,124,2.571746047,5.633333333,24.66666667,56.33333333,19,0.012362074,0.005777795
Crossriver,27.23801053,22.85990091,31.61102077,165.8333333,1.329614571,5.483333333,26.66666667,60.66666667,14.66666667,5.487014333,0.567674981
Ebonyi,27.24036992,22.78096867,31.69693748,159.8958333,1.406182286,5.583333333,31.66666667,49.83333333,19.16666667,0.349008541,0.297155424
Ebonyi,27.24661998,22.79380199,31.70502079,160.2291667,1.395348959,5.466666667,28,57,18,0.349008541,0.297155424
Taraba,27.24785407,21.10365093,33.39616152,98.0625,1.757963546,6.116666667,17.83333333,64.5,15,2.389935279,2.622656076
Lagos,27.25147871,23.54979189,30.96126425,124.4375,2.480641872,5.833333333,28.33333333,57.83333333,18.66666667,0.012362074,0.005777795
Lagos,27.2535369,23.53916776,30.96401477,127.0625,2.46899871,5.883333333,31.33333333,51.5,19.33333333,0.012362074,0.005777795
Lagos,27.25878692,23.59716757,30.92093126,127.8125,2.542415366,5.816666667,31,45.5,19.83333333,0.012362074,0.005777795
Ebonyi,27.2608281,22.59653111,31.92611988,149.8541667,1.429197915,5.45,26.33333333,51.83333333,21.16666667,0.349008541,0.297155424
Ebonyi,27.26151582,22.81722911,31.70105211,164.7708334,1.366723962,5.783333333,25,58.33333333,17.66666667,0.349008541,0.297155424
Ebonyi,27.26244795,22.84434891,31.68096861,161.4791667,1.379765618,5.5,23.5,66.83333333,11,0.349008541,0.297155424
Ebonyi,27.26254702,22.92922413,31.6036199,169.2291667,1.320098954,5.866666667,28.16666667,58.16666667,13.83333333,0.349008541,0.297155424
Ebonyi,27.26327086,22.92875024,31.59645323,168.25,1.302645823,5.733333333,27.33333333,54.16666667,20,0.349008541,0.297155424
Lagos,27.26545851,23.29298421,31.23816169,121.0833333,2.388234382,5.766666667,23.16666667,64,16,0.012362074,0.005777795
Benue,27.2677656,21.88499483,32.64971348,120.6041667,1.657401038,5.983333333,24.5,51.83333333,23.33333333,1.10166258,1.097621464
Ebonyi,27.27100023,22.68304694,31.86007802,157.1458333,1.374526044,5.683333333,23,53.66666667,19.33333333,0.349008541,0.297155424
Ebonyi,27.2734584,22.64621353,31.89945308,153.625,1.397401042,5.55,27.16666667,48.83333333,23.83333333,0.349008541,0.297155424
Ebonyi,27.27460416,22.67830714,31.8709894,153.25,1.433645827,5.683333333,24.66666667,58.83333333,15.33333333,0.349008541,0.297155424
Ebonyi,27.27944803,22.75110416,31.8080835,147.8333334,1.457937502,5.45,28.5,58,16.66666667,0.349008541,0.297155424
Benue,27.27947406,21.9370364,32.62049496,119.3958333,1.656078113,5.766666667,22.66666667,56,19.83333333,1.10166258,1.097621464
Lagos,27.2835627,23.47245832,31.10058344,123.4166667,2.235302086,5.866666667,32.16666667,49,20,0.012362074,0.005777795
Lagos,27.28592118,23.64065957,30.93253966,117.6458333,2.368797916,5.966666667,20.33333333,58.16666667,17,0.012362074,0.005777795
Lagos,27.28731191,23.60795852,30.96226406,125.4375,2.492725219,5.616666667,31,57.16666667,14.16666667,0.012362074,0.005777795
Ebonyi,27.29260421,22.70764053,31.87184382,151.5833334,1.437666665,5.75,28.5,57.16666667,15.5,0.349008541,0.297155424
Enugu,27.29391166,22.81182289,31.77710422,157.7083333,1.372036455,5.7,27,58,10.16666667,0.709388681,0.545488917
Kebbi,27.29956269,20.77567196,33.82236965,76.25,2.484187484,6.183333333,20.5,59.66666667,18.83333333,0.240604404,0.263373733
Plateau,27.30165637,21.2390782,33.08929678,96.875,2.018151038,6.033333333,21.83333333,61.5,19.5,2.60302342,1.686767501
Ebonyi,27.30465635,22.8649323,31.74455218,163.625,1.364828117,5.866666667,33,61.33333333,16.33333333,0.349008541,0.297155424
Ebonyi,27.30785426,22.7323072,31.88117711,151.1458333,1.422916663,5.633333333,26.83333333,52.16666667,18,0.349008541,0.297155424
Ebonyi,27.31325519,22.7122707,31.91828108,153.1458334,1.42538021,5.7,24.83333333,54.5,16,0.349008541,0.297155424
Benue,27.32132804,22.11536447,32.52669267,107.3958333,1.742505198,5.883333333,19.66666667,54.16666667,20,1.10166258,1.097621464
Ebonyi,27.3249116,22.83598952,31.81297942,161.1875,1.387932293,5.616666667,24.5,54,18,0.349008541,0.297155424
Ebonyi,27.33102091,22.77320329,31.89554183,161.5625,1.375421862,5.533333333,23.33333333,53.83333333,20.16666667,0.349008541,0.297155424
Ebonyi,27.33302092,22.73790106,31.92857818,157.4583333,1.379317711,5.466666667,26.66666667,57.16666667,16.33333333,0.349008541,0.297155424
Benue,27.33455197,22.4688021,32.19828109,105.5833334,1.724005193,6.016666667,16.33333333,53.83333333,20.83333333,1.10166258,1.097621464
Taraba,27.33877595,21.82331773,32.85310968,115.6041667,1.702526026,5.9,16.66666667,67.33333333,15.83333333,2.389935279,2.622656076
Taraba,27.34501561,21.41383314,33.27490644,92.91666667,1.822776017,5.783333333,16.5,69.33333333,13.33333333,2.389935279,2.622656076
Abuja,27.34591663,22.44851566,32.2449323,101.4791667,1.646114585,6.083333333,21.16666667,55.16666667,19.83333333,0.040602622,0.048095096
Ebonyi,27.35178657,22.88876569,31.81255194,157.1458333,1.406687488,5.566666667,25.66666667,52.66666667,20.5,0.349008541,0.297155424
Taraba,27.3524948,21.85089088,32.85765616,115.7291667,1.693401031,5.7,15,67.66666667,15.33333333,2.389935279,2.622656076
Ebonyi,27.35356259,22.91924489,31.78410952,165.3333333,1.321359363,5.683333333,28,57.5,15.66666667,0.349008541,0.297155424
Ebonyi,27.35704164,22.9288698,31.7872345,165.9375,1.312234357,5.8,24.66666667,59.16666667,13.33333333,0.349008541,0.297155424
Ebonyi,27.35707819,22.85748943,31.86189596,163.0833334,1.404765628,5.85,27.16666667,54.33333333,17.33333333,0.349008541,0.297155424
Ebonyi,27.35773961,22.9357551,31.7812291,165.3125,1.308697895,5.8,24.33333333,68.5,10.5,0.349008541,0.297155424
Taraba,27.36020307,21.81703131,32.90254696,111.7083333,1.710755202,5.666666667,24.83333333,51.66666667,23.5,2.389935279,2.622656076
Ebonyi,27.36604174,22.90795318,31.82740132,165.5833334,1.322234355,5.75,28.83333333,57.66666667,14,0.349008541,0.297155424
Benue,27.37003116,21.82522905,32.92196369,118.0833334,1.690364564,5.7,16.5,66.5,15.66666667,1.10166258,1.097621464
Ebonyi,27.37004177,22.88934891,31.85013032,163.875,1.36585936,5.683333333,27.5,55.66666667,16.33333333,0.349008541,0.297155424
Ebonyi,27.37822922,22.95091156,31.80644282,165.5416667,1.315192695,5.816666667,28.5,64.5,12.66666667,0.349008541,0.297155424
Ebonyi,27.37836993,22.87130746,31.88888534,156.5833333,1.404499998,5.55,27,52.5,18.33333333,0.349008541,0.297155424
Ebonyi,27.38387497,22.91670307,31.84898452,165.5833333,1.326401023,5.783333333,25.16666667,57.5,14.66666667,0.349008541,0.297155424
Ebonyi,27.38408339,22.81193237,31.96266659,161.1041667,1.356588532,5.716666667,26.33333333,56.16666667,17,0.349008541,0.297155424
Ebonyi,27.3843021,22.96122408,31.81401066,163.5208333,1.333828113,5.683333333,27.5,62.5,13.5,0.349008541,0.297155424
Ebonyi,27.38560414,22.84339062,31.91539586,162.4375,1.342171854,5.616666667,27.33333333,55.16666667,20.16666667,0.349008541,0.297155424
Ebonyi,27.38654173,22.92118232,31.85679682,164.2708333,1.355359361,5.833333333,29.33333333,61.33333333,13,0.349008541,0.297155424
Benue,27.38754674,22.13758306,32.64029173,107.5,1.732088531,5.85,16.66666667,68.66666667,12.5,1.10166258,1.097621464
Taraba,27.39298447,21.82654166,32.95245326,121,1.663119791,5.583333333,17.16666667,64.83333333,19.33333333,2.389935279,2.622656076
Taraba,27.39442186,21.83004173,32.95077618,119.125,1.6658125,5.8,15.5,64.16666667,15.83333333,2.389935279,2.622656076
Ebonyi,27.40095834,22.90993222,31.89154696,164.3333333,1.353859358,5.766666667,27.5,61,13,0.349008541,0.297155424
Ebonyi,27.40676006,22.94586973,31.87688561,162.2083333,1.371536446,5.7,25.83333333,50.16666667,18.33333333,0.349008541,0.297155424
Kwara,27.40783831,22.00348449,32.80727621,92.22916667,1.871963531,6.016666667,19.5,56,15.83333333,0.679907788,0.636513539
Ebonyi,27.40884332,22.94586973,31.87063563,162.3541667,1.369453113,5.733333333,29,53.16666667,16.83333333,0.349008541,0.297155424
Benue,27.40936979,21.94747396,32.86635912,117.8125,1.652473959,5.583333333,12.5,68,13.83333333,1.10166258,1.097621464
Abuja,27.41306778,22.4499168,32.37332829,100.125,1.653369779,5.95,18.83333333,60.83333333,12.33333333,0.040602622,0.048095096
Benue,27.41449483,22.34905211,32.47212505,106.3125,1.689989567,5.95,25,53.83333333,20.5,1.10166258,1.097621464
Ebonyi,27.41754687,22.80289571,32.02669776,155.2291667,1.423005208,5.65,26,54.5,16.33333333,0.349008541,0.297155424
Ebonyi,27.42796354,22.82164578,32.03919761,155.3333334,1.414671878,5.733333333,24.66666667,54.5,17.66666667,0.349008541,0.297155424
Ebonyi,27.42902084,22.91349475,31.95290097,164.8541667,1.343588534,5.866666667,26.33333333,56.66666667,16,0.349008541,0.297155424
Ebonyi,27.43585412,22.92482818,31.94031771,164.5416667,1.3432552,5.733333333,24.83333333,55.5,17.83333333,0.349008541,0.297155424
